silica_percent,iron_oxide_percent,alumina_percent,moisture_content,yield_percent
5.2,12.3,48.5,8.1,72.4
8.7,15.6,42.1,10.2,65.3
3.1,9.8,52.3,6.5,78.9
12.4,18.2,38.7,12.3,58.2
6.8,11.5,50.2,7.8,74.1
15.3,22.1,35.4,14.5,52.6
4.5,10.2,51.8,7.2,76.3
9.2,16.8,44.3,11.1,63.7
2.8,8.5,54.1,5.9,81.2
11.6,19.4,40.2,13.2,60.1
7.3,13.7,47.8,9.4,70.5
14.1,21.3,37.2,13.8,55.4
5.9,11.8,49.6,8.7,73.2
10.4,17.5,43.1,11.8,62.4
3.7,9.2,53.4,6.8,79.6
13.2,20.6,38.9,13.5,57.3
6.1,12.4,50.8,8.3,75.1
8.4,15.1,45.6,10.7,66.8
4.2,10.5,52.7,7.1,77.4
11.8,18.9,41.3,12.6,61.2
7.6,14.2,48.1,9.8,71.3
16.2,23.4,34.1,15.2,50.8
3.4,8.9,53.8,6.2,80.4
9.8,17.1,43.7,11.4,64.2
5.5,11.2,51.3,7.9,74.8
13.7,20.9,38.1,13.9,56.1
6.4,12.8,49.9,8.6,73.9
10.1,17.8,42.6,12.1,62.9
4.8,10.8,52.1,7.4,76.8
12.1,19.7,40.8,12.9,59.7
7.9,14.6,47.3,10.1,70.1
15.8,22.7,35.9,14.8,51.7
3.2,9.1,53.6,6.4,80.1
9.5,16.4,44.8,11.6,64.9
5.8,11.6,50.5,8.4,74.5
14.4,21.8,37.6,14.1,54.8
6.7,13.1,49.2,9.1,72.7
11.3,18.6,41.9,12.4,61.8
4.1,10.1,52.9,7.0,77.9
12.8,20.2,39.4,13.3,58.6
7.2,13.9,48.4,9.6,71.0
16.5,23.8,33.7,15.5,50.2
3.6,9.4,53.2,6.7,79.8
10.7,17.4,43.4,11.9,63.5
5.3,11.4,51.1,7.7,75.4
13.5,21.1,38.4,13.7,56.7
6.3,12.6,50.1,8.5,74.2
9.1,16.2,44.5,11.3,65.1
4.4,10.4,52.5,7.3,77.1
12.5,19.9,40.5,13.0,59.4
7.8,14.4,47.6,10.0,70.7
15.5,22.4,36.2,14.6,52.1
3.3,8.8,53.9,6.3,80.7
9.3,16.6,44.1,11.5,64.6
5.6,11.7,50.7,8.2,74.9
14.2,21.5,37.9,14.0,55.1
6.6,13.0,49.5,9.0,73.0
10.9,17.7,42.9,12.2,62.6
4.3,10.3,52.8,7.2,77.6
12.3,19.6,40.9,12.8,60.0
7.5,14.3,47.9,9.9,71.4
16.0,23.2,34.4,15.1,51.2
3.5,9.3,53.5,6.6,80.0
9.6,16.5,44.6,11.7,64.7
5.7,11.5,50.6,8.3,74.6
13.9,21.2,38.2,13.8,55.8
6.5,12.9,49.8,8.8,73.3
11.1,18.4,42.2,12.3,62.1
4.6,10.6,52.3,7.5,76.5
12.7,20.1,39.6,13.2,58.9
7.7,14.5,47.7,10.0,70.9
15.7,22.6,36.0,14.7,51.9
3.8,9.5,53.1,6.9,79.5
10.5,17.6,43.2,11.8,63.2
5.4,11.3,51.2,7.8,75.2
14.0,21.4,38.0,13.9,55.5
6.2,12.7,50.0,8.6,73.6
9.4,16.3,44.7,11.4,65.0
4.7,10.7,52.2,7.4,76.7
12.6,20.0,39.7,13.1,59.1
7.4,14.1,48.2,9.7,71.2
16.3,23.6,33.9,15.3,50.5
3.9,9.6,53.0,7.0,79.2
10.6,17.5,43.3,11.9,63.3
5.1,11.1,51.4,7.6,75.6
13.8,21.0,38.3,13.8,56.0
6.9,13.2,49.1,9.2,72.5
11.2,18.5,42.0,12.4,61.9
4.9,10.9,52.0,7.6,76.2
12.9,20.3,39.3,13.4,58.4
7.1,13.8,48.3,9.5,71.1
15.9,22.8,35.8,14.9,51.5
3.0,8.7,54.2,5.8,81.5
9.7,16.7,44.0,11.6,64.4
5.0,11.0,51.5,7.5,75.8
14.3,21.6,37.8,14.1,54.9
6.0,12.5,50.3,8.4,74.3
10.8,17.9,42.7,12.2,62.7
4.0,10.0,53.0,7.0,78.2
12.2,19.8,40.7,12.9,59.8
